hip,ra_degrees,dec_degrees,k,vmag,angular_diameter_mas
95168,290.41823037,-17.84725155,7500.0,3.92,7.8373
95176,290.43175842,-15.95500233,7200.0,4.52,6.6156
95188,290.46180286,-18.30816237,5000.0,5.84,7.4161
95222,290.58962436,-0.25227829,5200.0,5.81,6.9528
95241,290.65952718,-44.45891013,12000.0,3.96,3.0617
95260,290.71202082,26.2624297,18000.0,5.22,0.7621
95261,290.71325245,-54.42372882,10000.0,5.03,2.6599
95294,290.8044192,-44.79964788,7200.0,4.27,7.2624
95347,290.97146411,-40.61564629,14000.0,3.96,2.2254
95352,290.98536934,43.3882371,5400.0,5.85,6.3355
95372,291.03154901,29.6213112,24000.0,4.99,0.4784
95447,291.2407096,11.94285122,5200.0,5.17,8.7987
95456,291.26687908,-29.30920884,4550.0,5.91,8.6454
95477,291.31854426,-24.50844892,9000.0,5.02,3.3199
95485,291.33984203,-13.89726417,4700.0,5.72,8.9109
95498,291.3689314,19.79853912,5000.0,5.14,10.1886
95503,291.37363116,-23.96242415,4550.0,5.45,10.746
95501,291.37396941,3.11457923,7500.0,3.36,9.7442
95556,291.53801621,36.31786478,12000.0,5.17,1.7601
95557,291.5459647,-15.05325005,16000.0,5.71,0.773
95560,291.55518356,20.09782036,10000.0,5.6,2.0585
95564,291.57972363,-21.77668185,4850.0,5.57,8.9546
95572,291.60052721,13.02365808,6600.0,5.76,4.3765
95582,291.61952782,19.89161003,3500.0,5.84,15.1642
95585,291.62954029,0.33857566,7200.0,4.64,6.2704
95619,291.73529268,-29.74310537,14000.0,5.66,1.0221
95656,291.85821062,52.32050263,9750.0,5.73,2.0518
95690,291.95051131,-54.32529723,4400.0,5.7,10.25
95732,292.08665305,2.9300672,18000.0,5.84,0.5756
95771,292.17671261,24.66516482,3500.0,4.44,28.7834
95785,292.23782315,24.76868131,5000.0,5.82,7.5025
95793,292.25411887,1.95052861,10000.0,5.79,1.8822
95822,292.34218384,14.59607671,5000.0,5.57,8.3786
95823,292.34904557,-43.44491571,8750.0,5.7,2.5611
95853,292.42641389,51.72946747,8750.0,3.76,6.1993
95865,292.46738503,-26.9855106,4850.0,5.46,9.3537
95937,292.66593316,-2.78886135,3350.0,5.03,24.0527
95947,292.68035529,27.9596948,4550.0,3.05,32.3869
95951,292.68915293,27.9652789,14000.0,5.12,1.3184
95999,292.79559581,-68.43388713,4400.0,5.98,9.0326
96014,292.83066458,50.30659451,4850.0,5.55,9.027
96016,292.84005924,26.61710997,5000.0,5.89,7.1904
96052,292.94300436,34.45297707,24000.0,4.74,0.5363
96100,293.08577692,69.66540172,5000.0,4.67,10.6031
96141,293.22412548,-53.18560103,8750.0,5.76,2.5151
96178,293.34014279,-45.27168903,10000.0,5.59,2.0837
96229,293.52178228,7.37931918,4550.0,4.45,16.6362
96234,293.53534254,-40.03463308,8750.0,5.89,2.3703
96258,293.58233594,51.23707706,6450.0,5.71,4.5883
96275,293.64536654,19.77339742,14000.0,5.0,1.3979
96288,293.67190527,42.41258465,9500.0,5.34,2.5933
96302,293.71216081,29.46291111,10000.0,5.39,2.2879
96327,293.78022188,-10.56043644,5200.0,5.12,9.5692
96341,293.80414074,-48.09911061,5100.0,4.88,11.1012
96406,294.00687266,-24.71901737,9750.0,5.64,2.1339
96441,294.11059344,50.22046347,6900.0,4.49,6.9243
96459,294.15856119,44.69518822,5000.0,5.17,9.9382
96465,294.17662107,-24.88356664,14000.0,4.59,1.6683
96468,294.18031892,-1.28655047,20000.0,4.36,0.9149
96481,294.21852927,11.27319815,6000.0,5.98,4.8589
96483,294.2227024,-7.02747069,30000.0,4.93,0.3154
96496,294.26389422,-18.23101861,5000.0,5.66,8.071
96516,294.32243004,16.46276921,5200.0,5.67,7.4314
96536,294.39365282,-14.30144432,6450.0,5.46,5.1841
96556,294.44690167,-4.64750966,7050.0,5.45,4.3648
96620,294.67144862,54.973395,6600.0,5.89,4.0921
96665,294.79850093,5.39778241,24000.0,5.18,0.4381
96683,294.84418456,30.1532335,5200.0,4.68,11.6518
96693,294.86027686,42.81821158,12000.0,5.41,1.5763
96757,295.02409394,18.01393839,6000.0,4.39,10.0641
96760,295.02977888,-23.42905463,5000.0,5.97,6.9938
96807,295.18047034,-0.6212928,9250.0,5.64,2.3703
96808,295.18058838,-16.29314555,4850.0,5.3,10.0642
96825,295.20880618,45.5246494,6750.0,5.06,5.7607
96837,295.26222378,17.47612356,5200.0,4.39,13.3976
96840,295.27303453,13.81570826,20000.0,5.98,0.4377
96895,295.45453769,50.52544635,5800.0,5.99,4.9506
96950,295.6295525,-16.12397392,7050.0,5.06,5.2908
96957,295.64169697,11.8266084,7050.0,5.28,4.8508
96977,295.68585235,32.42674436,8750.0,5.93,2.3412
97063,295.88936752,-15.46965541,6750.0,5.49,4.6932
97077,295.92882357,25.77187257,5200.0,5.5,8.0183
97081,295.93784116,41.77308397,3500.0,5.86,15.0555
97118,296.06896508,37.35426967,5200.0,4.89,10.5917
97122,296.0766734,69.33711857,9500.0,5.9,2.0018
97165,296.24350878,45.13069195,12000.0,2.86,5.0276
97229,296.41631572,7.61315784,9250.0,5.89,2.0975
97260,296.50506632,-31.90853854,14000.0,5.51,1.1046
97278,296.56487567,10.61326869,4550.0,2.72,37.7549
97290,296.59091351,-19.76089482,5000.0,4.87,11.5126
97295,296.6065996,33.72868813,6750.0,5.0,5.7562
97365,296.84693842,18.53425912,3200.0,3.68,49.0466
97376,296.86573441,38.40761671,14000.0,5.83,0.9526
97421,297.00459018,-56.36227755,7750.0,5.33,3.8642
97433,297.04255658,70.26783533,5200.0,3.84,16.9917
97473,297.17520021,11.81592014,7200.0,5.75,3.7405
97496,297.24437005,19.14197806,9250.0,5.01,3.1728
97534,297.35538694,-72.50341408,9000.0,5.39,2.7734
97598,297.55855107,-47.55736033,3350.0,5.91,16.0962
97630,297.64161019,38.72216211,3200.0,5.18,24.636
97634,297.65553824,40.599778,28000.0,5.68,0.2566
97635,297.65722388,52.98816657,4550.0,5.03,12.9012
97646,297.68657002,-59.19363715,10000.0,5.41,2.2521
97649,297.6945086,8.86738491,8250.0,0.76,22.9759
97650,297.69501255,-10.76358902,7500.0,5.38,3.9555
97675,297.75625098,10.4160539,6300.0,5.12,6.2288
97679,297.76705681,22.61008676,26000.0,4.9,0.4245
97749,297.96079231,-39.87433805,10000.0,5.32,2.3544
97757,297.996132,47.02734867,33000.0,5.6,0.1918
97765,298.00664208,24.99217156,9750.0,5.54,2.2557
97774,298.02988134,47.93181856,26000.0,5.91,0.2676
97783,298.0500211,-19.04486185,5000.0,5.88,7.2707
97804,298.11818257,1.00567827,6600.0,3.87,10.6117
97816,298.15709206,-54.97103652,5200.0,5.76,7.1131
97870,298.32237872,57.52346329,20000.0,5.14,0.6424
97871,298.32801307,-3.11449682,8750.0,5.63,2.6602
97886,298.36533677,24.07952568,12000.0,4.57,2.3108
97928,298.53446904,-8.57416489,4250.0,5.76,10.6585
97938,298.56175736,8.46165027,5000.0,4.71,12.3924
97961,298.62942212,24.31939041,10000.0,5.56,2.1139
97966,298.65686507,-8.22722614,16000.0,5.7,0.772
97980,298.68655124,0.27365959,10000.0,5.6,2.0699
97985,298.70101118,36.99565531,6750.0,5.79,4.1933
98032,298.81532954,-41.8684135,5000.0,4.12,16.2401
98036,298.82819233,6.40793334,5200.0,3.71,17.1072
98055,298.90759282,52.43902327,9000.0,4.91,3.5048
98066,298.95927101,-26.29968718,5700.0,4.7,9.3258
98068,298.96567172,38.48670392,20000.0,4.95,0.7028
